AT1G02228	AT1TE01405
AT1G35990	AT1TE43865
AT1G35995	AT1TE43880
AT1G36010	AT1TE43910
AT1G36035	AT1TE43975
AT1G36040	AT1TE43975
AT1G36080	AT1TE44125
AT1G36090	AT1TE44125
AT1G36105	NA
AT1G36110	NA
AT1G36120	AT1TE44230
AT1G36130	NA
AT1G36140	AT1TE44265
AT1G36185	AT1TE44380
AT1G36190	AT1TE44450
AT1G36200	AT1TE44455
AT1G36210	AT1TE44525
AT1G36225	NA
AT1G36250	NA
AT1G36260	AT1TE44630
AT1G36270	AT1TE44630
AT1G36290	AT1TE44660
AT1G36300	NA
AT1G36305	AT1TE44720
AT1G36330	AT1TE44770
AT1G36360	NA
AT1G36395	NA
AT1G36400	AT1TE44905
AT1G36403	AT1TE44910
AT1G36406	AT1TE44930
AT1G36420	AT1TE44945
AT1G36430	NA
AT1G36440	AT1TE44980
AT1G36445	NA
AT1G36450	AT1TE45010
AT1G36460	AT1TE45020
AT1G36470	AT1TE45020
AT1G36480	NA
AT1G36485	NA
AT1G36490	AT1TE45080
AT1G36495	AT1TE45080
AT1G36500	AT1TE45090
AT1G36520	AT1TE45135
AT1G36530	AT1TE45160
AT1G36540	AT1TE45175
AT1G36550	NA
AT1G36560	NA
AT1G36570	AT1TE45220
AT1G36590	AT1TE45315
AT1G36600	NA
AT1G36605	AT1TE45350
AT1G36610	AT1TE45355
AT1G36620	NA
AT1G36630	NA
AT1G36650	AT1TE45430
AT1G36670	NA
AT1G36680	NA
AT1G36690	AT1TE45515
AT1G36720	AT1TE45560
AT1G36740	AT1TE45665
AT1G36750	AT1TE45680
AT1G36763	AT1TE45710
AT1G36770	NA
AT1G36775	NA
AT1G36790	NA
AT1G36795	AT1TE45790
AT1G36800	AT1TE45795
AT1G36810	AT1TE45800
AT1G36830	AT1TE45800
AT1G36840	AT1TE45805
AT1G36850	AT1TE45815
AT1G36890	AT1TE45855
AT1G36910	NA
AT1G36915	NA
AT1G36927	AT1TE45955
AT1G36933	NA
AT1G36936	AT1TE45970
AT1G36975	NA
AT1G37012	NA
AT1G37015	AT1TE46140
AT1G37030	NA
AT1G37035	AT1TE46180
AT1G37036	NA
AT1G37037	AT1TE46220
AT1G37038	AT1TE46230
AT1G37040	AT1TE46235
AT1G37045	AT1TE46255
AT1G37050	NA
AT1G37057	NA
AT1G37060	AT1TE46265
AT1G37063	NA
AT1G37070	AT1TE46310
AT1G37080	AT1TE46330
AT1G37090	NA
AT1G37095	AT1TE46375
AT1G37100	NA
AT1G37110	AT1TE46405
AT1G37120	NA
AT1G37160	AT1TE46575
AT1G37170	AT1TE46625
AT1G37180	AT1TE46630
AT1G37190	AT1TE46635
AT1G37200	AT1TE46635
AT1G37210	AT1TE46645
AT1G37275	AT1TE46660
AT1G37340	AT1TE46665
AT1G37405	NA
AT1G37471	NA
AT1G37537	AT1TE46690
AT1G37603	AT1TE46755
AT1G37669	AT1TE46765
AT1G37735	NA
AT1G37801	AT1TE46795
AT1G37867	NA
AT1G37933	AT1TE46825
AT1G37999	NA
AT1G38140	NA
AT1G38149	NA
AT1G38158	AT1TE47050
AT1G38167	AT1TE47035
AT1G38176	AT1TE47035
AT1G38185	AT1TE47105
AT1G38194	AT1TE47105
AT1G38203	AT1TE47125
AT1G38212	NA
AT1G38221	NA
AT1G38230	NA
AT1G38240	AT1TE47280
AT1G38250	AT1TE47280
AT1G38260	NA
AT1G38270	AT1TE47340
AT1G38280	NA
AT1G38290	NA
AT1G38300	NA
AT1G38310	AT1TE47500
AT1G38320	AT1TE47500
AT1G38330	NA
AT1G38340	AT1TE47540
AT1G38350	AT1TE47550
AT1G38360	NA
AT1G38380	AT1TE47540
AT1G38390	AT1TE47570
AT1G38400	AT1TE47580
AT1G38410	AT1TE47595
AT1G38416	NA
AT1G38423	NA
AT1G38430	NA
AT1G38440	AT1TE47720
AT1G38450	NA
AT1G38460	NA
AT1G38550	AT1TE47780
AT1G38710	NA
AT1G38870	AT1TE48020
AT1G39030	AT1TE48030
AT1G39110	AT1TE48035
AT1G39190	AT1TE48035
AT1G39270	NA
AT1G39350	AT1TE48050
AT1G39430	NA
AT1G39510	AT1TE48225
AT1G39511	AT1TE48230
AT1G39513	AT1TE48370
AT1G39515	AT1TE48475
AT1G39590	AT1TE48660
AT1G39670	NA
AT1G39750	AT1TE48695
AT1G39830	NA
AT1G39910	AT1TE48745
AT1G39990	AT1TE48745
AT1G40070	AT1TE48750
AT1G40071	AT1TE48760
AT1G40072	AT1TE48765
AT1G40073	AT1TE48765
AT1G40074	AT1TE48775
AT1G40075	AT1TE48830
AT1G40076	AT1TE50895
AT1G40077	AT1TE48835
AT1G40080	NA
AT1G40081	NA
AT1G40084	AT1TE48905
AT1G40085	AT1TE48905
AT1G40091	NA
AT1G40093	AT1TE49260
AT1G40095	AT1TE49260
AT1G40097	AT1TE49265
AT1G40099	AT1TE49280
AT1G40100	AT1TE50850
AT1G40101	NA
AT1G40103	NA
AT1G40105	AT1TE49675
AT1G40106	AT1TE50810
AT1G40107	AT1TE49740
AT1G40109	AT1TE49740
AT1G40112	AT1TE50810
AT1G40113	AT1TE49755
AT1G40115	AT1TE49845
AT1G40117	AT1TE49845
AT1G40118	AT1TE50800
AT1G40119	AT1TE49850
AT1G40121	AT1TE49850
AT1G40123	AT1TE49955
AT1G40124	AT1TE50800
AT1G40125	AT1TE49955
AT1G40127	NA
AT1G40130	AT1TE50775
AT1G40131	AT1TE50315
AT1G40133	AT1TE50315
AT1G40135	AT1TE50345
AT1G40136	AT1TE50775
AT1G40137	AT1TE50375
AT1G40139	AT1TE50375
AT1G40141	AT1TE50400
AT1G40143	NA
AT1G40150	AT1TE50860
AT1G40230	AT1TE50860
AT1G40310	AT1TE50860
AT1G40470	NA
AT1G40630	NA
AT1G41115	AT1TE51040
AT1G41600	AT1TE51040
AT1G41630	AT1TE51040
AT1G41650	AT1TE51040
AT1G41660	AT1TE51040
AT1G41680	AT1TE51040
AT1G41690	AT1TE51040
AT1G41700	AT1TE51045
AT1G41710	AT1TE51050
AT1G41720	AT1TE51065
AT1G41723	AT1TE51050
AT1G41726	AT1TE51065
AT1G41730	AT1TE51070
AT1G41740	AT1TE51075
AT1G41743	AT1TE51080
AT1G41746	NA
AT1G41750	NA
AT1G41755	AT1TE51105
AT1G41760	AT1TE51125
AT1G41770	AT1TE51155
AT1G41775	AT1TE51155
AT1G41790	NA
AT1G41795	AT1TE51210
AT1G41797	NA
AT1G41798	AT1TE51235
AT1G41803	AT1TE51265
AT1G41810	NA
AT1G41825	AT1TE51305
AT1G41827	AT1TE51320
AT1G41835	AT1TE51360
AT1G41840	AT1TE51385
AT1G41850	NA
AT1G41855	AT1TE51475
AT1G41860	AT1TE51485
AT1G41870	NA
AT1G41893	AT1TE51580
AT1G41896	AT1TE51615
AT1G41900	AT1TE51615
AT1G41910	AT1TE51650
AT1G41930	NA
AT1G42003	NA
AT1G42040	AT1TE51735
AT1G42045	AT1TE51700
AT1G42050	AT1TE51735
AT1G42060	AT1TE51735
AT1G42070	NA
AT1G42100	AT1TE51765
AT1G42110	AT1TE51775
AT1G42130	AT1TE51820
AT1G42140	NA
AT1G42150	NA
AT1G42160	AT1TE51850
AT1G42170	AT1TE51855
AT1G42180	AT1TE51870
AT1G42200	NA
AT1G42210	NA
AT1G42220	AT1TE51960
AT1G42230	AT1TE51965
AT1G42240	AT1TE51985
AT1G42250	AT1TE51985
AT1G42260	AT1TE51985
AT1G42270	AT1TE51985
AT1G42280	AT1TE51985
AT1G42290	AT1TE51985
AT1G42300	AT1TE52000
AT1G42310	AT1TE52020
AT1G42320	AT1TE52025
AT1G42350	NA
AT1G42360	AT1TE52110
AT1G42365	AT1TE52125
AT1G42367	AT1TE52125
AT1G42370	AT1TE52125
AT1G42375	AT1TE52105
AT1G42377	NA
AT1G42380	NA
AT1G42385	AT1TE52180
AT1G42390	AT1TE52200
AT1G42393	AT1TE52200
AT1G42396	AT1TE52200
AT1G42400	AT1TE52200
AT1G42410	AT1TE52205
AT1G42420	AT1TE52220
AT1G42450	NA
AT1G42460	NA
AT1G42500	AT1TE52590
AT1G42510	AT1TE52590
AT1G42515	AT1TE52595
AT1G42520	AT1TE52610
AT1G42530	NA
AT1G42580	AT1TE52715
AT1G42590	NA
AT1G42595	NA
AT1G42600	NA
AT1G42602	NA
AT1G42605	AT1TE52795
AT1G42610	NA
AT1G42620	AT1TE52810
AT1G42630	NA
AT1G42650	NA
AT1G42655	AT1TE52845
AT1G42690	AT1TE52860
AT1G42695	AT1TE52865
AT1G42697	AT1TE52885
AT1G42698	AT1TE52895
AT1G42703	NA
AT1G42705	AT1TE52925
AT1G42718	AT1TE52950
AT1G42727	AT1TE52950
AT1G42736	AT1TE52965
AT1G42740	NA
AT1G42745	NA
AT1G42780	AT1TE53000
AT1G42816	AT1TE53020
AT1G42852	AT1TE53030
AT1G42888	NA
AT1G42924	AT1TE53090
AT1G43030	NA
AT1G43060	NA
AT1G43070	NA
AT1G43150	AT1TE53470
AT1G43195	NA
AT1G43200	AT1TE53635
AT1G43205	AT1TE53635
AT1G43210	AT1TE53635
AT1G43220	AT1TE53660
AT1G43230	AT1TE53660
AT1G43240	AT1TE53660
AT1G43250	AT1TE53710
AT1G43270	NA
AT1G43280	AT1TE53765
AT1G43290	AT1TE53765
AT1G43300	AT1TE53765
AT1G43387	AT1TE53970
AT1G43444	AT1TE53995
AT1G43502	NA
AT1G43570	AT1TE54030
AT1G43575	NA
AT1G43590	AT1TE54100
AT1G43660	AT1TE54235
AT1G43675	AT1TE54330
AT1G43715	AT1TE54400
AT1G43723	NA
AT1G43724	AT1TE54445
AT1G43725	NA
AT1G43740	AT1TE54480
AT1G43745	AT1TE54480
AT1G43750	AT1TE54480
AT1G43755	AT1TE54480
AT1G43763	NA
AT1G43775	AT1TE54585
AT1G43777	NA
AT1G43785	AT1TE54625
AT1G43830	AT1TE54665
AT1G43835	AT1TE54750
AT1G43840	AT1TE54760
AT1G43845	AT1TE54770
AT1G43870	AT1TE54805
AT1G43880	AT1TE54805
AT1G43883	AT1TE54805
AT1G43886	NA
AT1G43897	AT1TE54880
AT1G43920	AT1TE54925
AT1G43930	AT1TE54925
AT1G43940	NA
AT1G43960	NA
AT1G43990	AT1TE55075
AT1G43995	AT1TE55090
AT1G44045	NA
AT1G44060	AT1TE55320
AT1G44070	AT1TE55320
AT1G44075	AT1TE55340
AT1G44140	AT1TE55520
AT1G44510	AT1TE55795
AT1G44641	AT1TE55900
AT1G44707	AT1TE55910
AT1G44840	AT1TE56135
AT1G44850	AT1TE56135
AT1G44860	AT1TE56135
AT1G44870	AT1TE56135
AT1G44875	AT1TE56135
AT1G44880	NA
AT1G44935	AT1TE56235
AT1G45020	AT1TE56390
AT1G45030	AT1TE56395
AT1G45035	AT1TE56400
AT1G45070	AT1TE56425
AT1G45080	AT1TE56425
AT1G45090	AT1TE56425
AT1G45120	AT1TE56445
AT1G45140	AT1TE56505
AT1G45256	AT1TE56815
AT1G45760	AT1TE56975
AT1G45832	AT1TE56990
AT1G46120	NA
AT1G46192	NA
AT1G46552	AT1TE57200
AT1G46624	NA
AT1G47320	NA
AT1G47360	AT1TE57530
AT1G47405	NA
AT1G47435	AT1TE57620
AT1G47465	AT1TE57655
AT1G47520	AT1TE57805
AT1G47565	NA
AT1G47606	AT1TE58005
AT1G47650	AT1TE58075
AT1G47783	AT1TE58410
AT1G47816	AT1TE58455
AT1G47860	NA
AT1G47910	AT1TE58625
AT1G47950	NA
AT1G48250	AT1TE59135
AT1G48290	AT1TE59235
AT1G48680	AT1TE59745
AT1G48710	AT1TE59755
AT1G48810	AT1TE59860
AT1G48890	NA
AT1G49070	AT1TE60180
AT1G49080	AT1TE60180
AT1G49090	AT1TE60180
AT1G49440	NA
AT1G49550	AT1TE60780
AT1G50735	AT1TE62360
AT1G50810	AT1TE62440
AT1G50850	AT1TE62470
AT1G50860	AT1TE62470
AT1G51085	AT1TE62710
AT1G51175	NA
AT1G51750	AT1TE63610
AT1G52010	AT1TE64080
AT1G52020	AT1TE64080
AT1G52087	AT1TE64170
AT1G52090	AT1TE64170
AT1G52210	AT1TE64390
AT1G52610	NA
AT1G52840	AT1TE65060
AT1G52850	AT1TE65060
AT1G52960	NA
AT1G53630	NA
AT1G53810	AT1TE66380
AT1G54430	NA
AT1G54750	AT1TE67485
AT1G54905	AT1TE67625
AT1G54923	NA
AT1G54926	AT1TE67645
AT1G54955	AT1TE67700
AT1G55100	NA
AT1G55400	AT1TE68310
AT1G55470	AT1TE68395
AT1G56605	AT1TE70100
AT1G56675	AT1TE70190
AT1G57640	AT1TE70490
AT1G57810	NA
AT1G58020	AT1TE70805
AT1G58040	AT1TE70875
AT1G58140	AT1TE71045
AT1G58561	AT1TE71775
AT1G58889	AT1TE71950
AT1G59265	AT1TE72060
AT1G59770	AT1TE72615
AT1G60020	AT1TE72970
AT1G60120	NA
AT1G60150	AT1TE73260
AT1G60310	AT1TE73425
AT1G61510	AT1TE74860
AT1G62075	AT1TE75620
AT1G62230	AT1TE75770
AT1G62460	AT1TE76215
AT1G62550	AT1TE76335
AT1G62695	AT1TE76520
AT1G62766	AT1TE76620
AT1G62890	AT1TE76775
AT1G63835	AT1TE78010
AT1G64240	AT1TE78470
AT1G64250	AT1TE78475
AT1G64270	AT1TE78490
AT1G64410	AT1TE78720
AT1G65347	NA
AT1G65485	AT1TE80020
AT1G65750	NA
AT1G67240	AT1TE82600
AT1G67626	AT1TE83175
AT1G68285	NA
AT1G69950	AT1TE86305
AT1G70010	AT1TE86360
AT1G73445	NA
AT1G77095	NA
AT1G77820	NA
AT1G78095	NA
AT1G78350	AT1TE96425
AT1G78355	AT1TE96425
AT1G80020	AT1TE98440
AT2G01022	AT2TE00010
AT2G01024	AT2TE00015
AT2G01026	AT2TE00015
AT2G01028	AT2TE00015
AT2G01029	NA
AT2G01031	AT2TE00030
AT2G01034	AT2TE00075
AT2G01037	AT2TE00110
AT2G01040	AT2TE00120
AT2G01550	AT2TE01000
AT2G01700	AT2TE01315
AT2G01840	NA
AT2G02110	AT2TE02290
AT2G02190	AT2TE02465
AT2G02200	AT2TE02465
AT2G02205	AT2TE02465
AT2G02210	AT2TE02465
AT2G02260	AT2TE02530
AT2G02830	AT2TE03565
AT2G03080	AT2TE04085
AT2G03100	AT2TE04130
AT2G03540	AT2TE04800
AT2G03650	NA
AT2G03860	AT2TE05315
AT2G03915	AT2TE05410
AT2G03920	AT2TE05410
AT2G03940	AT2TE05540
AT2G03950	AT2TE05545
AT2G03970	AT2TE05675
AT2G03990	AT2TE05755
AT2G04000	AT2TE05755
AT2G04010	AT2TE05755
AT2G04035	AT2TE05855
AT2G04036	AT2TE06040
AT2G04042	NA
AT2G04043	AT2TE05980
AT2G04130	AT2TE06390
AT2G04135	AT2TE06390
AT2G04140	AT2TE06405
AT2G04180	NA
AT2G04200	NA
AT2G04210	AT2TE06620
AT2G04290	AT2TE06885
AT2G04310	AT2TE06955
AT2G04320	AT2TE06955
AT2G04330	AT2TE06955
AT2G04460	AT2TE07145
AT2G04470	NA
AT2G04490	AT2TE07175
AT2G04580	AT2TE07380
AT2G04590	AT2TE07415
AT2G04600	NA
AT2G04625	NA
AT2G04670	AT2TE07550
AT2G04710	AT2TE07640
AT2G04760	AT2TE07725
AT2G04770	AT2TE07745
AT2G04820	AT2TE07855
AT2G04950	AT2TE08110
AT2G04970	AT2TE08110
AT2G04980	AT2TE08110
AT2G04990	AT2TE08135
AT2G05000	AT2TE08135
AT2G05010	AT2TE08135
AT2G05020	NA
AT2G05025	NA
AT2G05030	AT2TE08225
AT2G05040	AT2TE08225
AT2G05080	AT2TE08320
AT2G05082	AT2TE08320
AT2G05084	AT2TE08320
AT2G05087	AT2TE08320
AT2G05090	AT2TE08320
AT2G05110	NA
AT2G05130	NA
AT2G05200	AT2TE08665
AT2G05240	AT2TE08785
AT2G05280	AT2TE08840
AT2G05290	NA
AT2G05340	NA
AT2G05390	AT2TE09100
AT2G05435	AT2TE09180
AT2G05450	AT2TE09205
AT2G05460	AT2TE09205
AT2G05470	AT2TE09205
AT2G05475	AT2TE09205
AT2G05480	AT2TE09205
AT2G05490	AT2TE09205
AT2G05550	AT2TE09360
AT2G05560	AT2TE09375
AT2G05562	AT2TE09375
AT2G05564	AT2TE09375
AT2G05567	AT2TE09375
AT2G05570	AT2TE09375
AT2G05610	AT2TE09500
AT2G05640	NA
AT2G05647	AT2TE09610
AT2G05660	NA
AT2G05680	AT2TE09685
AT2G05690	AT2TE09685
AT2G05700	AT2TE09735
AT2G05750	AT2TE09955
AT2G05770	AT2TE10075
AT2G05780	NA
AT2G05800	NA
AT2G05820	AT2TE10260
AT2G05845	AT2TE10355
AT2G05860	AT2TE10385
AT2G05870	AT2TE10385
AT2G05880	AT2TE10385
AT2G05890	AT2TE10385
AT2G05930	AT2TE10495
AT2G05935	NA
AT2G05950	AT2TE10595
AT2G05960	AT2TE10620
AT2G05980	AT2TE10680
AT2G05985	AT2TE10690
AT2G06045	AT2TE10880
AT2G06060	AT2TE10905
AT2G06070	NA
AT2G06080	AT2TE10925
AT2G06100	AT2TE10945
AT2G06110	AT2TE10955
AT2G06120	AT2TE10965
AT2G06125	AT2TE10965
AT2G06130	NA
AT2G06140	AT2TE10975
AT2G06150	AT2TE10980
AT2G06160	AT2TE10980
AT2G06165	NA
AT2G06170	NA
AT2G06180	AT2TE11050
AT2G06190	NA
AT2G06220	AT2TE11110
AT2G06230	AT2TE11110
AT2G06235	AT2TE11110
AT2G06240	NA
AT2G06245	AT2TE11145
AT2G06250	AT2TE11145
AT2G06260	NA
AT2G06270	NA
AT2G06280	AT2TE11260
AT2G06285	NA
AT2G06290	NA
AT2G06296	NA
AT2G06303	AT2TE11330
AT2G06310	NA
AT2G06330	AT2TE11350
AT2G06335	AT2TE11350
AT2G06340	AT2TE11355
AT2G06350	AT2TE11370
AT2G06370	AT2TE11385
AT2G06380	AT2TE11400
AT2G06390	AT2TE11405
AT2G06400	AT2TE11435
AT2G06410	AT2TE11445
AT2G06430	AT2TE11515
AT2G06440	AT2TE11515
AT2G06450	AT2TE11515
AT2G06460	AT2TE11540
AT2G06470	AT2TE11540
AT2G06480	AT2TE11540
AT2G06490	NA
AT2G06540	NA
AT2G06550	AT2TE11695
AT2G06560	AT2TE11745
AT2G06580	AT2TE11770
AT2G06590	AT2TE11805
AT2G06600	AT2TE11815
AT2G06610	AT2TE11815
AT2G06620	AT2TE11815
AT2G06630	AT2TE11815
AT2G06640	AT2TE11815
AT2G06650	AT2TE11820
AT2G06660	AT2TE11860
AT2G06670	AT2TE11890
AT2G06680	AT2TE11900
AT2G06690	AT2TE11900
AT2G06700	AT2TE11900
AT2G06710	AT2TE11900
AT2G06715	AT2TE11900
AT2G06720	AT2TE11920
AT2G06740	AT2TE11925
AT2G06750	AT2TE11930
AT2G06760	NA
AT2G06770	AT2TE11985
AT2G06775	AT2TE11985
AT2G06780	AT2TE12025
AT2G06790	AT2TE12030
AT2G06800	AT2TE12030
AT2G06810	NA
AT2G06820	AT2TE12060
AT2G06830	AT2TE12115
AT2G06840	AT2TE12140
AT2G06860	AT2TE12225
AT2G06870	AT2TE12225
AT2G06875	AT2TE12265
AT2G06880	AT2TE12270
AT2G06885	NA
AT2G06890	AT2TE12315
AT2G06900	AT2TE12320
AT2G06902	AT2TE12320
AT2G06910	NA
AT2G06914	AT2TE12425
AT2G06917	AT2TE12425
AT2G06920	NA
AT2G06922	AT2TE12445
AT2G06930	AT2TE12470
AT2G06950	AT2TE12510
AT2G06965	AT2TE12555
AT2G06967	AT2TE12555
AT2G06973	AT2TE12560
AT2G06980	NA
AT2G07010	AT2TE12660
AT2G07030	NA
AT2G07070	NA
AT2G07080	AT2TE12815
AT2G07090	AT2TE12825
AT2G07100	AT2TE12825
AT2G07150	AT2TE12910
AT2G07155	AT2TE12950
AT2G07160	NA
AT2G07185	AT2TE13025
AT2G07210	NA
AT2G07212	AT2TE13055
AT2G07220	AT2TE13080
AT2G07230	AT2TE13080
AT2G07250	AT2TE13145
AT2G07260	AT2TE13145
AT2G07270	AT2TE13170
AT2G07300	AT2TE13200
AT2G07320	NA
AT2G07330	AT2TE13245
AT2G07365	AT2TE13325
AT2G07380	AT2TE13335
AT2G07390	AT2TE13335
AT2G07395	AT2TE13335
AT2G07400	NA
AT2G07410	AT2TE13380
AT2G07420	AT2TE13385
AT2G07430	AT2TE13390
AT2G07450	AT2TE13440
AT2G07455	AT2TE13440
AT2G07460	AT2TE13445
AT2G07470	AT2TE13445
AT2G07480	AT2TE13475
AT2G07483	AT2TE13490
AT2G07486	AT2TE13495
AT2G07490	NA
AT2G07500	AT2TE13520
AT2G07510	AT2TE13520
AT2G07520	AT2TE13545
AT2G07530	NA
AT2G07540	NA
AT2G07550	AT2TE13685
AT2G07570	AT2TE13735
AT2G07580	AT2TE13750
AT2G07590	AT2TE13755
AT2G07620	NA
AT2G07630	AT2TE13870
AT2G07635	NA
AT2G07650	AT2TE13950
AT2G07660	AT2TE13955
AT2G07682	NA
AT2G07683	AT2TE14285
AT2G07685	NA
AT2G07686	AT2TE14330
AT2G07693	NA
AT2G07694	NA
AT2G07697	NA
AT2G07700	AT2TE15415
AT2G07703	AT2TE14650
AT2G07704	AT2TE14665
AT2G07710	AT2TE15500
AT2G07720	AT2TE15510
AT2G07729	AT2TE15045
AT2G07730	AT2TE15565
AT2G07735	AT2TE15150
AT2G07736	AT2TE15150
AT2G07737	AT2TE15155
AT2G07740	NA
AT2G07744	AT2TE13970
AT2G07767	NA
AT2G07769	NA
AT2G07770	AT2TE15655
AT2G07780	AT2TE15655
AT2G07784	NA
AT2G07788	AT2TE15440
AT2G07789	AT2TE15490
AT2G07790	AT2TE15495
AT2G07791	NA
AT2G07880	AT2TE15695
AT2G09187	AT2TE15880
AT2G09589	NA
AT2G09790	AT2TE15930
AT2G09800	AT2TE15975
AT2G09810	AT2TE15990
AT2G09820	NA
AT2G09830	AT2TE16030
AT2G09850	NA
AT2G09860	AT2TE16160
AT2G09862	AT2TE16170
AT2G09865	AT2TE16180
AT2G09870	AT2TE16190
AT2G09880	AT2TE16190
AT2G09890	AT2TE16220
AT2G09900	AT2TE16230
AT2G09910	AT2TE16235
AT2G09920	AT2TE16235
AT2G09930	AT2TE16230
AT2G09950	AT2TE16255
AT2G09953	AT2TE16265
AT2G09956	AT2TE16270
AT2G09960	NA
AT2G10000	AT2TE16310
AT2G10010	AT2TE16310
AT2G10030	AT2TE16365
AT2G10040	AT2TE16390
AT2G10050	AT2TE16395
AT2G10070	NA
AT2G10080	AT2TE16445
AT2G10090	NA
AT2G10100	AT2TE16470
AT2G10105	AT2TE16475
AT2G10110	AT2TE16475
AT2G10120	AT2TE16485
AT2G10130	AT2TE16500
AT2G10140	AT2TE16510
AT2G10150	NA
